	(1)	(2)	(3)	(4)
	Logit	Logit	Logit	Logit
VARIABLES	irp25	irp25	irp25	irp24
infe_estado			0.0929	-0.0560*
			(0.113)	(0.0337)
ape			-0.0102	-0.0186***
			(0.0147)	(0.00425)
tamclase			0.0204	0.0511***
			(0.0170)	(0.00467)
material_edu			-0.0696	-0.117**
			(0.231)	(0.0597)
hrs			0.308**	0.0484
			(0.145)	(0.0507)
jorn_40			0.00467	0.00514***
			(0.00939)	(0.00187)
jorn_30			0.00375	0.00140
			(0.00564)	(0.00166)
edad30			0.00148**	0.00119***
			(0.000671)	(0.000336)
edad31_60			-0.000288*	-7.23e-05
			(0.000149)	(0.000109)
edad60			-0.000729	-0.00101***
			(0.000616)	(0.000347)
experiencia16_25			-0.00956**	0.000213
			(0.00430)	(0.000768)
experiencia26_40			-0.0215***	-0.00481***
			(0.00465)	(0.000963)
experiencia41			-0.0245	-0.00985
			(0.0326)	(0.00995)
Constant	-26.26	-26.26	-343.3***	-86.00**
	(30.35)	(30.35)	(125.2)	(37.75)
				
Observations	41,889	41,889	2,658	33,964
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
